Gene Ontology	Bacteria	Paper ID
myeloid cell activation involved in immune response	Staphylococcus aureus	33371165
leukocyte activation involved in immune response	Staphylococcus aureus	33371165
immune response	Staphylococcus aureus	33371165
neutrophil activation	Staphylococcus aureus	32670359
granulocyte activation	Staphylococcus aureus	32670359
neutrophil activation involved in immune response	Staphylococcus aureus	32670359
myeloid leukocyte activation	Staphylococcus aureus	32670359
immune effector process	Staphylococcus aureus	32670359
cell activation involved in immune response	Staphylococcus aureus	32670359
myeloid cell activation involved in immune response	Staphylococcus aureus	32670359
immune system process	Staphylococcus aureus	32670359
leukocyte activation involved in immune response	Staphylococcus aureus	32670359
immune response	Staphylococcus aureus	32670359
leukocyte activation	Staphylococcus aureus	32670359
neutrophil activation	Staphylococcus aureus	32190007
granulocyte activation	Staphylococcus aureus	32190007
neutrophil activation involved in immune response	Staphylococcus aureus	32190007
myeloid leukocyte activation	Staphylococcus aureus	32190007
immune effector process	Staphylococcus aureus	32190007
cell activation involved in immune response	Staphylococcus aureus	32190007
myeloid cell activation involved in immune response	Staphylococcus aureus	32190007
immune system process	Staphylococcus aureus	32190007
leukocyte activation involved in immune response	Staphylococcus aureus	32190007
immune response	Staphylococcus aureus	32190007
leukocyte activation	Staphylococcus aureus	32190007
neutrophil activation	Staphylococcus aureus	33293847
granulocyte activation	Staphylococcus aureus	33293847
neutrophil activation involved in immune response	Staphylococcus aureus	33293847
myeloid leukocyte activation	Staphylococcus aureus	33293847
immune effector process	Staphylococcus aureus	33293847
cell activation involved in immune response	Staphylococcus aureus	33293847
myeloid cell activation involved in immune response	Staphylococcus aureus	33293847
immune system process	Staphylococcus aureus	33293847
leukocyte activation involved in immune response	Staphylococcus aureus	33293847
immune response	Staphylococcus aureus	33293847
leukocyte activation	Staphylococcus aureus	33293847
neutrophil activation	Staphylococcus aureus	32805724
granulocyte activation	Staphylococcus aureus	32805724
neutrophil activation involved in immune response	Staphylococcus aureus	32805724
myeloid leukocyte activation	Staphylococcus aureus	32805724
immune effector process	Staphylococcus aureus	32805724
cell activation involved in immune response	Staphylococcus aureus	32805724
myeloid cell activation involved in immune response	Staphylococcus aureus	32805724
immune system process	Staphylococcus aureus	32805724
leukocyte activation involved in immune response	Staphylococcus aureus	32805724
immune response	Staphylococcus aureus	32805724
leukocyte activation	Staphylococcus aureus	32805724
neutrophil activation	Staphylococcus aureus	31930065
granulocyte activation	Staphylococcus aureus	31930065
neutrophil activation involved in immune response	Staphylococcus aureus	31930065
myeloid leukocyte activation	Staphylococcus aureus	31930065
immune effector process	Staphylococcus aureus	31930065
cell activation involved in immune response	Staphylococcus aureus	31930065
myeloid cell activation involved in immune response	Staphylococcus aureus	31930065
immune system process	Staphylococcus aureus	31930065
leukocyte activation involved in immune response	Staphylococcus aureus	31930065
immune response	Staphylococcus aureus	31930065
leukocyte activation	Staphylococcus aureus	31930065
neutrophil activation	Staphylococcus aureus	32764988
granulocyte activation	Staphylococcus aureus	32764988
neutrophil activation involved in immune response	Staphylococcus aureus	32764988
myeloid leukocyte activation	Staphylococcus aureus	32764988
immune effector process	Staphylococcus aureus	32764988
cell activation involved in immune response	Staphylococcus aureus	32764988
